"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,10,3,"AI",1,"100% of the time",100,"Using shampoo is a standard part of washing hair, therefore it is safe to assume that Olivia uses shampoo every time she washes her hair.",NA,"high"
"2",1,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,10,5,"AI",1,"100% of the time",100,"Using shampoo is a basic and essential step when washing hair, so it can be assumed that Olivia uses shampoo every time.",NA,"high"
"3",2,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,11,3,"AI",1,"100% of the time",100,"Jumping out of the plane is a fundamental part of the skydiving experience, so Jared would definitely jump every time he goes skydiving.",NA,"high"
"4",3,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,11,5,"AI",1,"100% of the time",100,"Jumping out of the plane is a fundamental part of skydiving, so it can be assumed that Jared jumps every time he goes skydiving.",NA,"high"
"5",4,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,12,3,"AI",1,"90% of the time",90,"Mailing the letter is the next natural step after writing it, especially for someone like Amy who enjoys sending letters to loved ones.",NA,"high"
"6",5,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,12,5,"AI",1,"95% of the time",95,"Amy enjoys writing letters to her close ones, especially around holidays, and it is likely that she would follow through by mailing them to maintain communication with loved ones.",NA,"high"
"7",6,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,13,3,"AI",1,"90% of the time",90,"Walking to the bus stop is a necessary step to catch the bus; therefore, it is highly likely that Adam walks to the bus stop almost every time he takes the bus in the morning.",NA,"high"
"8",7,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,13,5,"AI",1,"80% of the time",80,"Walking to the bus stop is typically the usual approach unless there are circumstances preventing Adam from doing so.",NA,"high"
"9",8,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,14,3,"AI",1,"85% of the time",85,"Trying on clothes is a common practice when shopping for clothes to ensure the fit and style are suitable. It is likely that Esther tries something on most of the time she goes shopping.",NA,"high"
"10",9,"2024-04-21_15-26_gpt-3.5-turbo_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-3.5-turbo","few_shot",1,14,5,"AI",1,"60% of the time",60,"Trying on clothes is a common practice when clothes shopping in order to ensure the fit and appearance, hence Esther likely tries on items during the majority of her shopping trips.",NA,"high"
